element.text,span_pinyin_word.text,span_english_word.text,sentence.text,span_pinyin_sentence.text,span_english_word.text
记住,jìzhù,to remember; to memorize,请记住这些生词。,jìzhù,to remember; to memorize
自己,zìjǐ,self,让孩子自己做。,zìjǐ,self
带,dài,to bring,请别带照相机。,dài,to bring
裤子,kùzi,pants,这条裤子很贵。,kùzi,pants
短,duǎn,short,这条裙子太短。,duǎn,short
职业,zhíyè,profession,他的职业是教师。,zhíyè,profession
以前,yǐqián,"before, ago",十年以前我去了法国。,yǐqián,"before, ago"
马路,mǎlù,street,北京的马路很宽。,mǎlù,street
开始,kāishǐ,to begin; to start,电影开始了。,kāishǐ,to begin; to start
爱,ài,to love,我爱我妈妈。,ài,to love
